Samples,PU_1,PU_3,SU_2,PU_2,SU_1,SU_3,QC,QC,QC,QC,CU_2,CU_3,CU_1
Group,PU,PU,SU,PU,SU,SU,QC,QC,QC,QC,CU,CU,CU
118.9296449,67370.875,67826.94,10699.945,71394.75,9011.586,9658.102,23062.766,22978.422,25461.828,26982.688,39880.594,44678.375,46801.625
119.0336688,1035.6631,1165.8584,4266.117,959.79297,4451.551,4461.715,5057.9805,4634.25,5799.5547,5704.039,866.1221,826.30664,980.76416
119.0338071,5635.922,6415.8477,5947.9688,6098.801,6874.992,6510.117,6302.5703,6229.3164,7676.8867,8709.422,3351.33,4398.043,3863.9219
119.0338124,15598.031,15320.703,3400.8027,15818.781,3947.246,3063.8262,6579,6657.0625,8048.0938,9835.297,10437.016,10106.273,10602.758
119.0340901,9929.859,13573.914,1392.8291,12286.945,1075.2793,1680.0459,4763.2695,5303.5703,5485.879,7185.246,12814.625,11910.352,13506.383
119.0342071,5100.5586,5512.453,1054.5371,5319.824,1245.1797,1254.46,2856.3066,2812.9883,3155.4902,3322.6992,4180.6562,4429.4297,4416.254
119.0343105,13391.109,14174.422,2796.461,14364.75,2308.2207,3058.412,4787.0938,5072.926,6240.0117,6931.332,11268.336,9317.8125,11128.68
119.0348354,14079.742,15922.617,6043.8867,15514.016,10493.859,9251.828,9888.82,8636.906,15347.5,15271.852,9477.922,9352.6875,0
119.0485968,3645.463,3497.6035,3393.338,3359.2598,3535.1016,3785.0098,4122.9023,4106.9023,5401.9883,5499.0117,6463.449,6290.25,7028.742
119.0486826,7277.879,8088.676,5706.4062,7953.711,6297.133,6274.0703,6457.2383,6556.16,7605.1016,8247.852,6945.0625,7386.5,7642.9883
119.0487102,6018.09,6414.1562,4377.336,6543.375,4779.711,5116.1445,4702.742,5586.4023,5879.004,6802.4805,5047.949,5416.3047,5707.1055
119.0487395,3848.1816,4434.9297,4927.426,4622.8633,4815.8086,4605.039,4625.6055,4971.633,5399.3906,6364.8438,5631.2227,5369.199,6341.9844
119.0488292,5471.9023,6439.4336,4570.5586,6221.5195,4482.1484,4904.2383,4682.09,5039.508,5994.293,6953.41,6676.8516,6514.5664,7079.2734
119.0488811,14837.344,13635.18,16599.625,14809.859,18760.703,18882.812,19956.672,20951.36,21392.188,23377.812,8653.906,8569.039,8796.945
119.9228063,6786.1055,8294.117,5325.7617,8307.461,5605.1797,5633.422,5899.586,5516.6094,6993.8516,9954.883,5518.129,4865.2227,5099.0703
119.9230102,2541.4824,1952.3379,3383.629,1745.8379,3345.3203,3508.4316,3516.4238,3337.6406,2450.8047,1541.7158,3143.8105,2899.4258,2913.9277
119.9230632,6876.1055,7025.8047,5082.7617,6473.664,5271.9062,5212.504,5481.6055,5049.082,6225.332,6217.293,4364.8594,4700.9766,4188.414
119.9230691,4457.3555,3680.205,4236.4727,3477.041,4185.3906,4208.164,4316.0312,4896.4453,3865.2754,3372.3906,4115.8594,4055.2285,3786.4219
119.9232815,52912.28,52156.97,46959.72,53982.844,43882.22,45058.5,43327.188,43474.375,52248.28,53073.156,44396,44566.594,10587.977
119.9360446,6633.2773,5590.574,1554.9316,6546.133,1293.9248,1369.6924,6456.1562,6586.625,6557.5117,6534.1953,15783.492,17043.922,15332.156
119.9455499,6169.875,6240.1094,4496.629,6189.4883,5607.3086,5041.457,4595.6797,5081.1094,5361.7344,5890.8164,3677.8633,3707.8594,4570.633
119.9455881,5798.289,5651.8086,4917.5312,6015.6953,5418.949,4978.871,4646.199,4938.2773,5529.84,5698.8164,4377.5117,4463.2695,4723.254
119.9455973,6569.6094,6015.125,5352.7656,6553.7383,5614.785,5498.9062,4796.7305,4990.6523,5698.258,5924.551,4467.3125,4297.6914,5132.086
120.9270852,29382.266,29655.89,4871.285,31071.672,3435.004,3363.0098,9402.25,11168.273,11474.328,12185.367,17735.453,19012.344,21952.89
